plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf
56407,West County Energy Center,FL,26.6986,-80.3747,FPL,4263.0,0.0,4263.0,12,19808418.7,0.530432796484993
710,Jack McDonough,GA,33.8239,-84.4758,SOCO,2764.8,0.0,2764.8,9,17985506.178999998,0.7425998172640659
612,Fort Myers,FL,26.6967,-81.7831,FPL,2556.9,835.4,1721.5,12,9733853.770000001,0.4345772309005037
6043,Martin,FL,27.0536,-80.5628,FPL,2448.5,0.0,2448.5,11,7498886.4,0.3496170146105667
55380,Union Power Station,AR,33.296146,-92.589364,MISO,2428.0,0.0,2428.0,12,9989430.0,0.4696646995102796
620,Sanford,FL,28.8419,-81.3256,FPL,2377.8,0.0,2377.8,10,9039120.0,0.4339570248543318
7873,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,TEC,2293.7,279.6,2014.1,13,5076787.0,0.25266682433499105
7277,Lincoln Combustion,NC,35.4317,-81.0347,DUK,2290.0,2290.0,0.0,17,2891.577,0.00014414353651971047
7302,Hines Energy Complex,FL,27.788215,-81.869983,FPC,2266.3,0.0,2266.3,12,12354258.0,0.6222933524500438
7805,Sherwood H Smith Jr Energy Complex,NC,34.8392,-79.7406,CPLE,2244.8,997.0,1247.8,11,9407624.299999999,0.47840774884705634
62949,Guernsey Power Station,OH,39.9364,-81.5354,PJM,2055.0,0.0,2055.0,3,11615196.0,0.6452241442522414
7710,H Allen Franklin Combined Cycle,AL,32.6078,-85.0975,SOCO,1995.6999999999998,0.0,1995.6999999999998,9,11738168.0,0.6714303332072632
628,Crystal River,FL,28.9656,-82.6977,FPC,1970.6,0.0,1970.6,6,12208599.0,0.7072341849850334
55480,Forney Energy Center,TX,32.7563,-96.4916,ERCO,1894.1999999999998,0.0,1894.1999999999998,8,9680206.0,0.5833841975672915
1378,Paradise,KY,37.2608,-86.9783,TVA,1853.6,693.5999999999999,1160.0,7,7675938.0,0.47272800503721746
3,Barry,AL,31.0069,-88.0103,SOCO,1844.8,0.0,1844.8,8,13173069.0,0.815142562879445
59913,Greensville County Power Station,VA,36.718236,-77.649559,PJM,1773.3,0.0,1773.3,4,11532140.0,0.7423754231655915
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,PJM,1740.0,384.4,1355.6,10,4768697.274,0.31285737639741773
55091,Midlothian Energy Facility,TX,32.4302,-97.0537,ERCO,1734.0,0.0,1734.0,6,6338657.0,0.41729583721750857
55199,Elwood Energy LLC,IL,41.4388,-88.1236,PJM,1728.0,1728.0,0.0,9,216541.0,0.014305145970742433
60345,Okeechobee Clean Energy Center,FL,27.634167,-80.791111,FPL,1723.1,0.0,1723.1,4,11062229.0,0.7328718760840145
7845,Lagoon Creek,TN,35.6578,-89.3964,TVA,1625.2,1020.8,604.4000000000001,15,3495607.097,0.24553403030410306
58001,Temple Power Station,TX,31.055833,-97.317222,ERCO,1606.4,0.0,1606.4,6,7360248.0,0.523039690552857
7242,Polk,FL,27.7286,-81.9897,TEC,1591.6000000000001,0.0,1591.6000000000001,7,5763349.8,0.4133680848426843
60357,Lackawanna Energy Center,PA,41.471389,-75.544167,PJM,1498.5,0.0,1498.5,3,9607813.0,0.7319201240814635
55939,Warren County,VA,38.971667,-78.177222,PJM,1472.2,0.0,1472.2,4,9420053.0,0.7304364325375188
58260,Brunswick County Power Station,VA,36.765,-77.713889,PJM,1472.2,0.0,1472.2,4,9343385.0,0.7244915508675551
10745,Midland Cogeneration Venture,MI,43.5861,-84.2242,MISO,1468.6,0.0,1468.6,14,10766051.4,0.8368523092536178
55322,Chuck Lenzie Generating Station,NV,36.383719,-114.921779,NEVP,1465.6,0.0,1465.6,6,5508876.0,0.42908510049650056
55524,York Energy Center,PA,39.7375,-76.306666,PJM,1449.4,0.0,1449.4,7,9155096.1,0.7210585721819704
65978,Dania Beach 7,FL,26.0686,-80.1984,FPL,1447.7,0.0,1447.7,3,7051595.1,0.556038274220516
55358,Cottonwood Energy Company LP,TX,30.2588,-93.7353,MISO,1433.6,0.0,1433.6,8,5975182.0,0.47579408609548274
55463,Redbud Power Plant,OK,35.6856,-97.2264,SWPP,1433.6,0.0,1433.6,8,5123359.0,0.40796479724702384
55736,Hanging Rock Energy Facility,OH,38.5731,-82.7833,PJM,1429.8000000000002,0.0,1429.8000000000002,6,8326927.0,0.6648219631573467
3406,Johnsonville,TN,36.0278,-87.9861,TVA,1426.0,1426.0,0.0,20,777787.14,0.0622640156391093
2398,Bergen Generating Station,NJ,40.8375,-74.0244,PJM,1400.8,0.0,1400.8,8,2159204.0,0.17595979075231635
260,Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241,CISO,1398.0,0.0,1398.0,6,4026041.0,0.32875087372044864
55173,Acadia Energy Center,LA,30.428611,-92.413056,MISO,1389.1999999999998,0.0,1389.1999999999998,6,5787348.0,0.47556591159196787
56150,McIntosh Combined Cycle Facility,GA,32.3478,-81.1817,SOCO,1376.6,0.0,1376.6,6,8034741.0,0.6662849605639465
2322,Clark (NVE),NV,36.0875,-115.0507,NEVP,1375.6,796.8,578.8,19,984492.0,0.081698845236151
