plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,cf_ac,cf_dc
56407,West County Energy Center,FL,26.6986,-80.3747,FPL,4263.0,0.0,4263.0,12,0.2244003843991698,0.17261568030705368
710,Jack McDonough,GA,33.8239,-84.4758,SOCO,2764.8,0.0,2764.8,9,0.21088152668008908,0.1622165589846839
612,Fort Myers,FL,26.6967,-81.7831,FPL,2556.9,835.4,1721.5,12,0.2347028757639963,0.18054067366461252
6043,Martin,FL,27.0536,-80.5628,FPL,2448.5,0.0,2448.5,11,0.23063613926044627,0.1774124148157279
55380,Union Power Station,AR,33.296146,-92.589364,MISO,2428.0,0.0,2428.0,12,0.19647489066954968,0.15113453128426899
620,Sanford,FL,28.8419,-81.3256,FPL,2377.8,0.0,2377.8,10,0.22481124261316668,0.1729317250870513
7873,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,TEC,2293.7,279.6,2014.1,13,0.23391805055955323,0.1799369619688871
7277,Lincoln Combustion,NC,35.4317,-81.0347,DUK,2290.0,2290.0,0.0,17,0.2169777636477095,0.1669059720366996
7302,Hines Energy Complex,FL,27.788215,-81.869983,FPC,2266.3,0.0,2266.3,12,0.22983308654873855,0.1767946819605681
7805,Sherwood H Smith Jr Energy Complex,NC,34.8392,-79.7406,CPLE,2244.8,997.0,1247.8,11,0.20847500988738396,0.16036539222106458
62949,Guernsey Power Station,OH,39.9364,-81.5354,PJM,2055.0,0.0,2055.0,3,0.17886197389518407,0.1375861337655262
7710,H Allen Franklin Combined Cycle,AL,32.6078,-85.0975,SOCO,1995.7,0.0,1995.7,9,0.21229565131616204,0.16330434716627848
628,Crystal River,FL,28.9656,-82.6977,FPC,1970.6,0.0,1970.6,6,0.23594672232389663,0.18149747871068972
55480,Forney Energy Center,TX,32.7563,-96.4916,ERCO,1894.2,0.0,1894.2,8,0.22385326923127882,0.17219482248559909
1378,Paradise,KY,37.2608,-86.9783,TVA,1853.6,693.5999999999999,1160.0,7,0.20083055664696167,0.1544850435745859
3,Barry,AL,31.0069,-88.0103,SOCO,1844.8,0.0,1844.8,8,0.20546252978265692,0.158048099832813
59913,Greensville County Power Station,VA,36.718236,-77.649559,PJM,1773.3,0.0,1773.3,4,0.20204379661082097,0.1554183050852469
2406,PSEG Linden Generating Station,NJ,40.6217,-74.2072,PJM,1740.0,384.4,1355.6,10,0.19481652331099308,0.1498588640853793
