plant_code,cached,developable_mi2_box,developable_mi2_box_incl_forest,frac_excl_slope,frac_excl_protected,frac_forest,name,state
56407,False,93.4735951234127,93.54656843137721,0.0017046875,0.30349375,0.0003609375,West County Energy Center,FL
710,False,2.2649524824416956,25.59139161121527,0.266146875,0.0184921875,0.2053640625,Jack McDonough,GA
612,False,32.44254275325584,39.319060807112656,0.00069375,0.1118015625,0.04006875,Fort Myers,FL
6043,False,78.24893063841452,81.04207087374229,0.001325,0.2607328125,0.02164375,Martin,FL
55380,False,22.721455656553413,105.3307151918195,0.0546890625,0.0,0.406834375,Union Power Station,AR
620,False,8.26822328432306,22.344774390679405,0.0024578125,0.2844109375,0.1454140625,Sanford,FL
7873,False,5.0066639102516035,8.423552182704686,0.0069796875,0.02136875,0.018990625,H L Culbreath Bayside Power Station,FL
7277,False,32.60621145826199,92.86895914313521,0.22951875,0.0571671875,0.4727703125,Lincoln Combustion,NC
7302,False,86.80487725128341,93.04201013059394,0.021925,0.05231875,0.02963125,Hines Energy Complex,FL
7805,False,63.556276317672,131.51770799280234,0.0767921875,0.0277234375,0.3623625,Sherwood H Smith Jr Energy Complex,NC
62949,True,41.133316239887755,,,,,Guernsey Power Station,OH
7710,False,27.410164439245314,121.26878063515653,0.2432640625,0.02598125,0.622371875,H Allen Franklin Combined Cycle,AL
628,False,11.281673411315142,34.986878757618854,0.0020390625,0.197290625,0.1196109375,Crystal River,FL
55480,False,97.69423225930358,117.51552016218126,0.003996875,0.0002,0.0900640625,Forney Energy Center,TX
1378,False,54.36580941745446,104.91650479613516,0.2649671875,0.1776421875,0.5109140625,Paradise,KY
3,False,19.76846912758908,79.93218160879617,0.053684375,0.2518453125,0.3113359375,Barry,AL
59913,True,66.22605691334546,,,,,Greensville County Power Station,VA
2406,True,1.8587344014391882,,,,,PSEG Linden Generating Station,NJ
55091,False,157.08442767608673,177.45510034035448,0.020475,0.000278125,0.10003125,Midlothian Energy Facility,TX
55199,True,73.31940993943971,,,,,Elwood Energy LLC,IL
60345,False,64.33118334986669,76.90795923158076,4.53125e-05,0.3599515625,0.066221875,Okeechobee Clean Energy Center,FL
7845,False,172.49951774567802,181.71639403353987,0.0074390625,0.001375,0.0457,Lagoon Creek,TN
58001,False,163.88415001060946,169.15699274896022,0.018765625,0.000428125,0.02895625,Temple Power Station,TX
7242,False,89.79226548257388,96.64341662461446,0.0207,0.0246359375,0.0323046875,Polk,FL
60357,True,20.526349054592046,,,,,Lackawanna Energy Center,PA
55939,True,49.8762135179229,,,,,Warren County,VA
58260,True,63.42249191973705,,,,,Brunswick County Power Station,VA
10745,False,96.92419011430653,121.33410912038191,0.0026203125,0.0103859375,0.1132703125,Midland Cogeneration Venture,MI
55322,False,19.33340921534345,19.33340921534345,0.3675109375,0.8617125,0.0,Chuck Lenzie Generating Station,NV
55524,True,72.51427110823114,,,,,York Energy Center,PA
65978,False,1.181472605139884,1.3475737537448442,0.0016546875,0.024575,0.0012328125,Dania Beach 7,FL
55358,False,31.37296255366156,95.06128580955507,0.00078125,0.067259375,0.2869609375,Cottonwood Energy Company LP,TX
55463,False,106.16921324952612,191.10944873634466,0.071909375,6.25e-06,0.4305734375,Redbud Power Plant,OK
55736,True,21.32731798248835,,,,,Hanging Rock Energy Facility,OH
3406,False,29.52569538633108,76.45587221414341,0.3344,0.1314515625,0.527353125,Johnsonville,TN
2398,True,0.8680348728351266,,,,,Bergen Generating Station,NJ
260,False,60.55637837644476,61.40078379717709,0.17674375,0.0492375,0.058653125,Dynegy Moss Landing Power Plant Hybrid,CA
55173,False,153.99070691033367,162.30375665526353,2.34375e-05,6.25e-06,0.03738125,Acadia Energy Center,LA
56150,False,21.45484752545492,85.66023879206848,0.0036046875,0.09150625,0.290803125,McIntosh Combined Cycle Facility,GA
2322,False,8.738727374722885,8.771391617335576,0.178846875,0.2506578125,0.000196875,Clark (NVE),NV
55501,False,89.16921242933394,174.34087754998282,0.1717203125,0.0,0.534778125,Kiamichi Energy Facility,OK
634,False,1.1481133786418167,1.770123956053697,0.0012859375,0.0274296875,0.003371875,P L Bartow,FL
617,False,0.6192306418703746,0.7005437564594137,0.001509375,0.018521875,0.00044375,Port Everglades,FL
55298,True,42.7164895307752,,,,,Fairless Energy Center,PA
8068,False,33.63861001998863,33.63861001998863,0.0029328125,0.0039265625,0.0,Santan,AZ
52019,True,53.14437523890543,,,,,Doswell Energy Center,VA
57185,False,19.678816206375522,63.56426863235383,0.54140625,0.117765625,0.6839515625,Cricket Valley Energy,NY
645,False,20.307776622641168,23.357365911672822,0.0048578125,0.0662671875,0.0203171875,Big Bend,FL
7897,False,70.59646307653496,113.391138294415,0.121709375,0.0814625,0.299565625,E B Harris Electric Generating Plant,AL
63931,True,98.45176469436386,,,,,CPV Three Rivers Energy Center,IL
619,False,1.2499285178494597,1.3395814390630156,0.0027078125,0.0569359375,0.0005609375,Riviera,FL
609,False,4.354769025768538,13.208863725463905,0.001871875,0.1287390625,0.04365625,Cape Canaveral,FL
62926,True,74.46370090671195,,,,,"Jackson Generation, LLC",IL
55230,False,155.45573294070715,191.38535733883907,0.0515765625,0.0,0.180525,Jack County,TX
400,False,6.119680602681911,6.138792659529763,0.0074609375,0.0199484375,0.000121875,Haynes,CA
55372,False,128.02402400101516,128.02402400101516,0.0820109375,0.3958140625,0.0,Harquahala Generating Project,AZ
62192,False,39.27319187067781,67.59587015142235,0.005634375,0.0012390625,0.1293765625,Blue Water Energy Center,MI
55131,True,108.50053669302126,,,,,Kendall County Generation Facility,IL
56237,False,14.892114695845551,14.931381285369318,0.292046875,0.2449375,0.1585234375,Lake Side Power Plant,UT
55965,False,44.27603336955985,130.64654569248302,0.30015,0.0293046875,0.6496671875,Wansley Combined Cycle,GA
55502,True,45.49989999170769,,,,,"Lawrenceburg Power, LLC",IN
59812,False,116.639840466607,149.32562757974458,0.1079734375,0.0116,0.206578125,Wolf Hollow II,TX
60122,False,166.1272105006618,185.41579325539848,0.006853125,0.0320921875,0.100271875,Colorado Bend II,TX
4040,False,62.90403394124625,70.74310467634938,0.0189203125,0.015240625,0.04159375,Port Washington Generating Station,WI
6042,False,90.85107343194483,95.46819887444296,0.000821875,0.137140625,0.0300609375,Manatee,FL
621,False,11.148236505322872,11.244144281504814,0.001440625,0.603521875,0.0009671875,Turkey Point,FL
55405,False,39.07512146334554,104.27746711353156,0.2637875,0.0650453125,0.515996875,Athens Generating Plant,NY
613,False,1.181472605139884,1.3475737537448442,0.0016546875,0.024575,0.0012328125,Lauderdale,FL
55225,False,100.20625151299659,148.3182484378915,0.0414125,0.0,0.2475890625,Oneta Energy Center,OK
60356,True,24.065206998928687,,,,,South Field Energy,OH
117,False,43.72942854371131,43.72942854371131,0.035953125,0.0013109375,0.0,West Phoenix,AZ
