plant_code,name,state,lat,lon,ba,nameplate_MW_total,nameplate_MW_peaker,nameplate_MW_ccgt,n_units,net_gen_MWh_2024,gas_cf,cf_ac,cf_dc,developable_area_mi2_10km_excl_forest,developable_MW_10km_excl_forest,developable_area_mi2_10km_incl_forest,developable_MW_10km_incl_forest,developable_area_mi2_5km_excl_forest,developable_MW_5km_excl_forest,developable_area_mi2_5km_incl_forest,developable_MW_5km_incl_forest
56407,West County Energy Center,FL,26.6986,-80.3747,FPL,4263.0,0.0,4263.0,12,19808418.7,0.530432796484993,0.1726156803070536,0.1726156803070536,47.80724649115735,4370.9482506201,47.81662877360993,4371.806059301479,12.671641182067946,1158.5500509319263,12.672336165953322,1158.6135923157321
710,Jack McDonough,GA,33.8239,-84.4758,SOCO,2764.8,0.0,2764.8,9,17985506.178999998,0.7425998172640659,0.1622165589846839,0.1622165589846839,1.2547934050470946,114.72396846144864,14.172111390595598,1295.7358985687401,0.4152528715124005,37.96597682399089,3.5266957263425542,322.44075212274777
612,Fort Myers,FL,26.6967,-81.7831,FPL,2556.9,835.4,1721.5,12,9733853.77,0.4345772309005037,0.1805406736646125,0.1805406736646125,19.840747451668225,1814.0111955810946,23.675321039232525,2164.6007807298306,3.8762726206868847,354.40206817708656,4.944462852510415,452.06517508666644
6043,Martin,FL,27.0536,-80.5628,FPL,2448.5,0.0,2448.5,11,7498886.4,0.3496170146105667,0.1774124148157279,0.1774124148157279,53.04638251106736,4849.954972440443,55.35303402663164,5060.848825292035,10.033482353179123,917.3469580049482,10.98039789700447,1003.9220934404086
55380,Union Power Station,AR,33.296146,-92.589364,MISO,2428.0,0.0,2428.0,12,9989430.0,0.4696646995102796,0.1511345312842689,0.1511345312842689,13.942419216478697,1274.7354712209094,59.767919158485235,5464.49546591865,4.579596312687804,418.7059485885992,18.969932643291592,1734.393841672374
620,Sanford,FL,28.8419,-81.3256,FPL,2377.8,0.0,2377.8,10,9039120.0,0.4339570248543318,0.1729317250870513,0.1729317250870513,3.516270968061908,321.4876313656601,10.301051149049037,941.8103907701976,1.1171865957425668,102.14277446789181,2.1613998835206116,197.6137036361702
7873,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,TEC,2293.7,279.6,2014.1,13,5076787.0,0.252666824334991,0.1799369619688871,0.1799369619688871,2.4373084860150436,222.83963300708967,3.6184335992122394,330.828214785119,0.8166060653172729,74.66112597186493,1.5345244189110965,140.29937544330022
7277,Lincoln Combustion,NC,35.4317,-81.0347,DUK,2290.0,2290.0,0.0,17,2891.577,0.0001441435365197,0.1669059720366996,0.1669059720366996,18.747190308028454,1714.0288281626013,55.222029564238184,5048.871274444633,5.830567306365328,533.0804394391156,16.19625195675437,1480.8001789032564
7302,Hines Energy Complex,FL,27.788215,-81.869983,FPC,2266.3,0.0,2266.3,12,12354258.0,0.6222933524500438,0.1767946819605681,0.1767946819605681,42.95764893900081,3927.556474422931,46.646275910636064,4264.80236897244,8.594170726564592,785.7527521430483,9.395834638346273,859.0477383630877
7805,Sherwood H Smith Jr Energy Complex,NC,34.8392,-79.7406,CPLE,2244.8,997.0,1247.8,11,9407624.3,0.4784077488470563,0.1603653922210645,0.1603653922210645,33.91486611442575,3100.787759033211,74.05505038211062,6770.747463507256,8.671661429784061,792.8376164373998,19.93109535676716,1822.2715754758542
62949,Guernsey Power Station,OH,39.9364,-81.5354,PJM,2055.0,0.0,2055.0,3,11615196.0,0.6452241442522414,0.1375861337655262,0.1375861337655262,21.280059078282754,1945.6054014429944,40.44215476588092,3697.5684357376836,6.3038513323066585,576.3521218108945,10.816729191998327,988.9580975541327
7710,H Allen Franklin Combined Cycle,AL,32.6078,-85.0975,SOCO,1995.7,0.0,1995.7,9,11738168.0,0.6714303332072632,0.1633043471662784,0.1633043471662784,14.870222703456195,1359.563218601709,66.34003427054718,6065.374561878599,2.9745310294110023,271.95712268900587,15.532542346219905,1420.118157368677
628,Crystal River,FL,28.9656,-82.6977,FPC,1970.6,0.0,1970.6,6,12208599.0,0.7072341849850334,0.1814974787106897,0.1814974787106897,6.394894221290967,584.6760430894598,19.31638211015173,1766.0692214995863,2.3292384918390128,212.95894782528114,5.306896948734209,485.2020067414133
55480,Forney Energy Center,TX,32.7563,-96.4916,ERCO,1894.2,0.0,1894.2,8,9680206.0,0.5833841975672915,0.172194822485599,0.172194822485599,51.91738118927339,4746.731994447852,61.13807988850481,5589.767304091868,11.606925869671297,1061.2046509413756,14.222150230342699,1300.310878202761
1378,Paradise,KY,37.2608,-86.9783,TVA,1853.6,693.5999999999999,1160.0,7,7675938.0,0.4727280050372174,0.1544850435745859,0.1544850435745859,26.22834434216274,2398.020054140593,51.860045018729835,4741.48983028387,5.665508633588432,517.9893607852281,10.095335918977622,923.0021411636682
3,Barry,AL,31.0069,-88.0103,SOCO,1844.8,0.0,1844.8,8,13173069.0,0.815142562879445,0.158048099832813,0.158048099832813,10.722558875529826,980.3482400484411,42.006563491863204,3840.6000906846352,2.3584278150248217,215.62768594512653,8.456216425317377,773.1397874575887
